	arquivo	nome	ano	km	cor	cambio	portas	preco
1531	./dados/dados_carro\Carro-525.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.213 	Branco	manual	4.0	47.470,00
1532	./dados/dados_carro\Carro-527.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.080 	Branco	manual	4.0	47.490,00
1533	./dados/dados_carro\Carro-528.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.595 	Branco	manual	4.0	47.490,00
1534	./dados/dados_carro\Carro-529.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.104 	Branco	manual	4.0	47.490,00
1535	./dados/dados_carro\Carro-53.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.970,00
1536	./dados/dados_carro\Carro-530.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.050 	Branco	manual	4.0	47.490,00
1537	./dados/dados_carro\Carro-531.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.830 	Branco	manual	4.0	47.490,00
1538	./dados/dados_carro\Carro-532.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.006 	Prata	manual	4.0	47.490,00
1539	./dados/dados_carro\Carro-533.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.220 	Branco	manual	4.0	47.490,00
1540	./dados/dados_carro\Carro-534.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.018 	Prata	manual	4.0	47.490,00
1541	./dados/dados_carro\Carro-535.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	21.858 	Branco	manual	4.0	47.520,00
1542	./dados/dados_carro\Carro-538.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	20.417 	Branco	manual	4.0	47.520,00
1543	./dados/dados_carro\Carro-539.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	20.792 	Branco	manual	4.0	47.520,00
1544	./dados/dados_carro\Carro-54.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.980,00
1545	./dados/dados_carro\Carro-542.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	47.344 	Branco	manual	3.0	47.560,00
1546	./dados/dados_carro\Carro-544.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	19.518 	Branco	manual	4.0	47.560,00
1547	./dados/dados_carro\Carro-546.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.208 	Cinza	manual	3.0	47.590,00
1548	./dados/dados_carro\Carro-548.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	17.803 	Branco	manual	4.0	47.610,00
1549	./dados/dados_carro\Carro-55.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.980,00
1550	./dados/dados_carro\Carro-550.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	17.574 	Branco	manual	4.0	47.610,00
1551	./dados/dados_carro\Carro-551.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	16.503 	Branco	manual	4.0	47.610,00
1552	./dados/dados_carro\Carro-553.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	16.503 	Branco	manual	4.0	47.610,00
1553	./dados/dados_carro\Carro-555.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.000 	Prata	manual	4.0	47.700,00
1554	./dados/dados_carro\Carro-556.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	11.342 	Branco	manual	3.0	47.750,00
1555	./dados/dados_carro\Carro-557.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.248 	Branco	manual		47.800,00
1556	./dados/dados_carro\Carro-558.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	35.013 	Branco	manual	4.0	47.850,00
1557	./dados/dados_carro\Carro-559.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	333 	Branco	manual	4.0	47.900,00
1558	./dados/dados_carro\Carro-56.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Várias cores	manual	5.0	53.990,00
1559	./dados/dados_carro\Carro-560.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	33.356 	Branco	manual	4.0	47.900,00
1560	./dados/dados_carro\Carro-561.html	Fiat Argo 1.0 2020	2019 / 2020	30.755 	Branco	manual	4.0	47.900,00
1561	./dados/dados_carro\Carro-562.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	45.931 	Branco	manual		47.900,00
1562	./dados/dados_carro\Carro-564.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	44.457 	Prata	manual		47.900,00
1563	./dados/dados_carro\Carro-565.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	44.830 	Prata	manual		47.900,00
1564	./dados/dados_carro\Carro-567.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	1.700 	Preto	manual	5.0	47.900,00
1565	./dados/dados_carro\Carro-569.html	Fiat Argo 1.0 Drive 2020	2020 / 2020	0	Branco	manual	4.0	47.970,00
1566	./dados/dados_carro\Carro-57.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.990,00
1567	./dados/dados_carro\Carro-570.html	Fiat Argo 1.0 Drive 2020	2020 / 2020	0	Preto	manual	4.0	47.990,00
1568	./dados/dados_carro\Carro-571.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	39.729 	Branco	manual	4.0	47.990,00
1569	./dados/dados_carro\Carro-572.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.303 	Prata	manual	4.0	47.990,00
1570	./dados/dados_carro\Carro-573.html	Fiat Argo 1.0 Drive 2020	2020 / 2020	0	Preto	manual	4.0	47.990,00
1571	./dados/dados_carro\Carro-574.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	0	Preto	manual	4.0	47.990,00
1572	./dados/dados_carro\Carro-575.html	Fiat Argo 1.0 2020	2020 / 2020	0	Não informada.	manual		47.990,00
1573	./dados/dados_carro\Carro-576.html	Fiat Argo Drive 1.3 Firefly (Flex) 2020	2019 / 2020	17.000 	Preto	manual	4.0	48.000,00
1574	./dados/dados_carro\Carro-577.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.962 	Branco	manual	4.0	48.060,00
1575	./dados/dados_carro\Carro-578.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.910 	Branco	manual	4.0	48.060,00
1576	./dados/dados_carro\Carro-579.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	29.528 	Branco	manual	4.0	48.140,00
1577	./dados/dados_carro\Carro-58.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.990,00
1578	./dados/dados_carro\Carro-580.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	29.528 	Branco	manual	4.0	48.140,00
1579	./dados/dados_carro\Carro-581.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	0	Prata	manual	5.0	48.445,00
1580	./dados/dados_carro\Carro-582.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	33.556 	Branco	manual	4.0	48.450,00
1581	./dados/dados_carro\Carro-583.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	33.906 	Prata	manual	4.0	48.450,00
1582	./dados/dados_carro\Carro-584.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	17.753 	Branco	manual	4.0	48.520,00
1583	./dados/dados_carro\Carro-585.html	Fiat Argo 1.3 Trekking 2020	2020 / 2020	0	Preto	manual	4.0	48.542,00
1584	./dados/dados_carro\Carro-586.html	Fiat Argo 1.3 Trekking 2020	2020 / 2020	0	Branco	manual	4.0	48.542,00
1585	./dados/dados_carro\Carro-587.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	28.423 	Branco	manual	4.0	48.640,00
1586	./dados/dados_carro\Carro-59.html	Chevrolet Onix 1.0 (Flex) 2020	2020 / 2020	3.000 	Preto	manual	5.0	54.900,00
1587	./dados/dados_carro\Carro-590.html	Fiat Argo 1.0 Drive 2020	2020 / 2020	0	Várias cores	manual		49.900,00
